Location,Reference,ID,Volume,L,H,H/L,F-Angle
Unconfined debris flow dilative soil/rock mass,"Hunter, G., Fell, R., 2003. Travel distance angle for rapid landslides in constructed and natural slopes. Canadian Geotechnical Journal 40, 1123–1141 No 6.",HF1,21,,,0.518,27
Unconfined debris flow dilative soil/rock mass,"Hunter, G., Fell, R., 2003. Travel distance angle for rapid landslides in constructed and natural slopes. Canadian Geotechnical Journal 40, 1123–1141 No 6.",HF2,37,,,0.728,36
Unconfined debris flow dilative soil/rock mass,"Hunter, G., Fell, R., 2003. Travel distance angle for rapid landslides in constructed and natural slopes. Canadian Geotechnical Journal 40, 1123–1141 No 6.",HF3,41,,,0.595,31
Unconfined debris flow dilative soil/rock mass,"Hunter, G., Fell, R., 2003. Travel distance angle for rapid landslides in constructed and natural slopes. Canadian Geotechnical Journal 40, 1123–1141 No 6.",HF4,44,,,0.622,32
Unconfined debris flow dilative soil/rock mass,"Hunter, G., Fell, R., 2003. Travel distance angle for rapid landslides in constructed and natural slopes. Canadian Geotechnical Journal 40, 1123–1141 No 6.",HF5,50,,,0.644,33
Unconfined debris flow dilative soil/rock mass,"Hunter, G., Fell, R., 2003. Travel distance angle for rapid landslides in constructed and natural slopes. Canadian Geotechnical Journal 40, 1123–1141 No 6.",HF6,72,,,0.69,35
Unconfined debris flow dilative soil/rock mass,"Hunter, G., Fell, R., 2003. Travel distance angle for rapid landslides in constructed and natural slopes. Canadian Geotechnical Journal 40, 1123–1141 No 6.",HF7,85,,,0.609,31
Unconfined debris flow dilative soil/rock mass,"Hunter, G., Fell, R., 2003. Travel distance angle for rapid landslides in constructed and natural slopes. Canadian Geotechnical Journal 40, 1123–1141 No 6.",HF8,89,,,0.567,30
Unconfined debris flow dilative soil/rock mass,"Hunter, G., Fell, R., 2003. Travel distance angle for rapid landslides in constructed and natural slopes. Canadian Geotechnical Journal 40, 1123–1141 No 6.",HF9,101,,,0.902,42
Unconfined debris flow dilative soil/rock mass,"Hunter, G., Fell, R., 2003. Travel distance angle for rapid landslides in constructed and natural slopes. Canadian Geotechnical Journal 40, 1123–1141 No 6.",HF10,102,,,0.757,37
Unconfined debris flow dilative soil/rock mass,"Hunter, G., Fell, R., 2003. Travel distance angle for rapid landslides in constructed and natural slopes. Canadian Geotechnical Journal 40, 1123–1141 No 6.",HF11,110,,,0.741,37
Unconfined debris flow dilative soil/rock mass,"Hunter, G., Fell, R., 2003. Travel distance angle for rapid landslides in constructed and natural slopes. Canadian Geotechnical Journal 40, 1123–1141 No 6.",HF12,116,,,0.576,30
Unconfined debris flow dilative soil/rock mass,"Hunter, G., Fell, R., 2003. Travel distance angle for rapid landslides in constructed and natural slopes. Canadian Geotechnical Journal 40, 1123–1141 No 6.",HF13,149,,,0.647,33
Unconfined debris flow dilative soil/rock mass,"Hunter, G., Fell, R., 2003. Travel distance angle for rapid landslides in constructed and natural slopes. Canadian Geotechnical Journal 40, 1123–1141 No 6.",HF14,157,,,0.825,40
Unconfined debris flow dilative soil/rock mass,"Hunter, G., Fell, R., 2003. Travel distance angle for rapid landslides in constructed and natural slopes. Canadian Geotechnical Journal 40, 1123–1141 No 6.",HF15,173,,,0.38,21
Unconfined debris flow dilative soil/rock mass,"Hunter, G., Fell, R., 2003. Travel distance angle for rapid landslides in constructed and natural slopes. Canadian Geotechnical Journal 40, 1123–1141 No 6.",HF16,227,,,0.545,29
Unconfined debris flow dilative soil/rock mass,"Hunter, G., Fell, R., 2003. Travel distance angle for rapid landslides in constructed and natural slopes. Canadian Geotechnical Journal 40, 1123–1141 No 6.",HF17,249,,,0.456,25
Unconfined debris flow dilative soil/rock mass,"Hunter, G., Fell, R., 2003. Travel distance angle for rapid landslides in constructed and natural slopes. Canadian Geotechnical Journal 40, 1123–1141 No 6.",HF18,266,,,0.735,36
Unconfined debris flow dilative soil/rock mass,"Hunter, G., Fell, R., 2003. Travel distance angle for rapid landslides in constructed and natural slopes. Canadian Geotechnical Journal 40, 1123–1141 No 6.",HF19,287,,,0.702,35
Unconfined debris flow dilative soil/rock mass,"Hunter, G., Fell, R., 2003. Travel distance angle for rapid landslides in constructed and natural slopes. Canadian Geotechnical Journal 40, 1123–1141 No 6.",HF20,307,,,0.49,26
Unconfined debris flow dilative soil/rock mass,"Hunter, G., Fell, R., 2003. Travel distance angle for rapid landslides in constructed and natural slopes. Canadian Geotechnical Journal 40, 1123–1141 No 6.",HF21,391,,,0.71,35
Unconfined debris flow dilative soil/rock mass,"Hunter, G., Fell, R., 2003. Travel distance angle for rapid landslides in constructed and natural slopes. Canadian Geotechnical Journal 40, 1123–1141 No 6.",HF22,565,,,0.666,34
Unconfined debris flow dilative soil/rock mass,"Hunter, G., Fell, R., 2003. Travel distance angle for rapid landslides in constructed and natural slopes. Canadian Geotechnical Journal 40, 1123–1141 No 6.",HF23,594,,,0.384,21
Unconfined debris flow dilative soil/rock mass,"Hunter, G., Fell, R., 2003. Travel distance angle for rapid landslides in constructed and natural slopes. Canadian Geotechnical Journal 40, 1123–1141 No 6.",HF24,634,,,0.723,36
Unconfined debris flow dilative soil/rock mass,"Hunter, G., Fell, R., 2003. Travel distance angle for rapid landslides in constructed and natural slopes. Canadian Geotechnical Journal 40, 1123–1141 No 6.",HF25,761,,,0.384,21
Unconfined debris flow dilative soil/rock mass,"Hunter, G., Fell, R., 2003. Travel distance angle for rapid landslides in constructed and natural slopes. Canadian Geotechnical Journal 40, 1123–1141 No 6.",HF26,821,,,0.666,34
Unconfined debris flow dilative soil/rock mass,"Hunter, G., Fell, R., 2003. Travel distance angle for rapid landslides in constructed and natural slopes. Canadian Geotechnical Journal 40, 1123–1141 No 6.",HF27,905,,,0.583,30
