Reference,Location,ID,Volume,H/L,F-Angle,,,,,,,
"Massey, et al. 2014. Canterbury Earthquakes 2010/11 Port Hills Slope Stability: Risk assessment for Deans Head. GNS Science Consultancy Report 2014/77. 122 p. + Appendices","Port Hills and Banks Peninsula debris flows, NZ",NZ409,200,0.5,27,,,,,,,
"Massey, et al. 2014. Canterbury Earthquakes 2010/11 Port Hills Slope Stability: Risk assessment for Deans Head. GNS Science Consultancy Report 2014/77. 122 p. + Appendices","Port Hills and Banks Peninsula debris flows, NZ",NZ410,30,0.6,31,,,,,,,
"Massey, et al. 2014. Canterbury Earthquakes 2010/11 Port Hills Slope Stability: Risk assessment for Deans Head. GNS Science Consultancy Report 2014/77. 122 p. + Appendices","Port Hills and Banks Peninsula debris flows, NZ",NZ411,"3,550",0.4,22,,,,,,,
"Massey, et al. 2014. Canterbury Earthquakes 2010/11 Port Hills Slope Stability: Risk assessment for Deans Head. GNS Science Consultancy Report 2014/77. 122 p. + Appendices","Port Hills and Banks Peninsula debris flows, NZ",NZ412,50,0.6,31,,,,,,,
"Massey, et al. 2014. Canterbury Earthquakes 2010/11 Port Hills Slope Stability: Risk assessment for Deans Head. GNS Science Consultancy Report 2014/77. 122 p. + Appendices","Port Hills and Banks Peninsula debris flows, NZ",NZ413,493,0.5,27,,,,,,,
"Massey, et al. 2014. Canterbury Earthquakes 2010/11 Port Hills Slope Stability: Risk assessment for Deans Head. GNS Science Consultancy Report 2014/77. 122 p. + Appendices","Port Hills and Banks Peninsula debris flows, NZ",NZ414,208,0.5,27,,,,,,,
"Massey, et al. 2014. Canterbury Earthquakes 2010/11 Port Hills Slope Stability: Risk assessment for Deans Head. GNS Science Consultancy Report 2014/77. 122 p. + Appendices","Port Hills and Banks Peninsula debris flows, NZ",NZ415,272,0.3,17,,,,,,,
"Massey, et al. 2014. Canterbury Earthquakes 2010/11 Port Hills Slope Stability: Risk assessment for Deans Head. GNS Science Consultancy Report 2014/77. 122 p. + Appendices","Port Hills and Banks Peninsula debris flows, NZ",NZ416,"1,544",0.32,18,,,,,,,
"Massey, et al. 2014. Canterbury Earthquakes 2010/11 Port Hills Slope Stability: Risk assessment for Deans Head. GNS Science Consultancy Report 2014/77. 122 p. + Appendices","Port Hills and Banks Peninsula debris flows, NZ",NZ417,"1,134",0.26,15,,,,,,,
"Harvey J. 2011. An investigation of the runout paths, sediment budget and material behaviour of four debris flow-like landslides in the Coromandel Peninsula, New Zealand, University of Auckland","Coromandel Peninsula, NZ",Coro1,"1,000",0.4,22,,,,,,,
"Harvey J. 2011. An investigation of the runout paths, sediment budget and material behaviour of four debris flow-like landslides in the Coromandel Peninsula, New Zealand, University of Auckland","Coromandel Peninsula, NZ",Coro2,925,0.39,21,,,,,,,
"Harvey J. 2011. An investigation of the runout paths, sediment budget and material behaviour of four debris flow-like landslides in the Coromandel Peninsula, New Zealand, University of Auckland","Coromandel Peninsula, NZ",Coro3,320,0.34,19,,,,,,,
"Harvey J. 2011. An investigation of the runout paths, sediment budget and material behaviour of four debris flow-like landslides in the Coromandel Peninsula, New Zealand, University of Auckland","Coromandel Peninsula, NZ",Coro4,"1,200",0.33,18,,,,,,,
"Kailey P. 2012. Debris flows in New Zealand Alpine Catchments, University of Canterbury","Ongorongo, NZ",OR1,"10,870",0.32,18,,,,,,,
"Kailey P. 2012. Debris flows in New Zealand Alpine Catchments, University of Canterbury","Ongorongo, NZ",OR2,"2,170",0.37,20,,,,,,,
"Kailey P. 2012. Debris flows in New Zealand Alpine Catchments, University of Canterbury","Ongorongo, NZ",OR3,"5,897",0.39,21,,,,,,,
"Kailey P. 2012. Debris flows in New Zealand Alpine Catchments, University of Canterbury","Cass, NZ",C1,757,0.34,19,,,,,,,
"Kailey P. 2012. Debris flows in New Zealand Alpine Catchments, University of Canterbury","Cass, NZ",C2,"1,091",0.55,29,,,,,,,
"Kailey P. 2012. Debris flows in New Zealand Alpine Catchments, University of Canterbury","Cass, NZ",C3,"2,999",0.42,23,,,,,,,
"Kailey P. 2012. Debris flows in New Zealand Alpine Catchments, University of Canterbury","Cass, NZ",C6,"2,350",0.64,33,,,,,,,
"Kailey P. 2012. Debris flows in New Zealand Alpine Catchments, University of Canterbury","Cass, NZ",C7,883,0.5,27,,,,,,,
"Kailey P. 2012. Debris flows in New Zealand Alpine Catchments, University of Canterbury","Cass, NZ",C13,"1,328",0.49,26,,,,,,,
"Kailey P. 2012. Debris flows in New Zealand Alpine Catchments, University of Canterbury","Cass, NZ",C14,570,0.33,18,,,,,,,
"Kailey P. 2012. Debris flows in New Zealand Alpine Catchments, University of Canterbury","Birch Hill, NZ",BH1,336,0.58,30,,,,,,,
"Kailey P. 2012. Debris flows in New Zealand Alpine Catchments, University of Canterbury","Birch Hill, NZ",BH2,638,0.49,26,,,,,,,
"Kailey P. 2012. Debris flows in New Zealand Alpine Catchments, University of Canterbury","Birch Hill, NZ",BH3,"2,606",0.38,21,,,,,,,
Pierson TC. Debris flows. Rev. 1980 Dec;39:3-14.(Lincoln University Research Report),Mt. Thomas,Mt. Thomas,"195,000",0.17,10,,,,,,,
"Brideau et al., 2020.  Empirical Relationships to Estimate the Probability of Runout Exceedance for Various Landslide Types. In: Guzzetti F., Mihali? Arbanas S., Reichenbach P., Sassa K., Bobrowsky P.T., Takara K. (eds) Understanding and Reducing Landslide Disaster Risk. WLF 2020. ICL Contribution to Landslide Disaster Risk Reduction. Springer, Cham.","Kaikoura, NZ",11,"2,010",0.17,10,,,,,,,
"Brideau et al., 2020.  Empirical Relationships to Estimate the Probability of Runout Exceedance for Various Landslide Types. In: Guzzetti F., Mihali? Arbanas S., Reichenbach P., Sassa K., Bobrowsky P.T., Takara K. (eds) Understanding and Reducing Landslide Disaster Risk. WLF 2020. ICL Contribution to Landslide Disaster Risk Reduction. Springer, Cham.","Kaikoura, NZ",14,"1,740",0.24,13,,,,,,,
"Brideau et al., 2020.  Empirical Relationships to Estimate the Probability of Runout Exceedance for Various Landslide Types. In: Guzzetti F., Mihali? Arbanas S., Reichenbach P., Sassa K., Bobrowsky P.T., Takara K. (eds) Understanding and Reducing Landslide Disaster Risk. WLF 2020. ICL Contribution to Landslide Disaster Risk Reduction. Springer, Cham.","Kaikoura, NZ",21,"1,290",0.45,24,,,,,,,
"Brideau et al., 2020.  Empirical Relationships to Estimate the Probability of Runout Exceedance for Various Landslide Types. In: Guzzetti F., Mihali? Arbanas S., Reichenbach P., Sassa K., Bobrowsky P.T., Takara K. (eds) Understanding and Reducing Landslide Disaster Risk. WLF 2020. ICL Contribution to Landslide Disaster Risk Reduction. Springer, Cham.","Kaikoura, NZ",22,"10,590",0.41,22,,,,,,,
