Dataset,ID,Volume (m3),H (m),L (m),H/L,F-Angle
"Hermanns et al., 2012. Recommeded hazard and risk classification System for large unstable rock slopes in Norway. NGU Report 2012.029",Berrfottene,"75,000,000",1000,4000,0.25,14
"Hermanns et al., 2012. Recommeded hazard and risk classification System for large unstable rock slopes in Norway. NGU Report 2012.029",Bjorkum,"225,000",400,550,0.73,36
"Hermanns et al., 2012. Recommeded hazard and risk classification System for large unstable rock slopes in Norway. NGU Report 2012.029",Erdalen,"10,000,000",460,1010,0.46,25
"Hermanns et al., 2012. Recommeded hazard and risk classification System for large unstable rock slopes in Norway. NGU Report 2012.029",Frykkjelen,"2,750,000",950,2200,0.43,23
"Hermanns et al., 2012. Recommeded hazard and risk classification System for large unstable rock slopes in Norway. NGU Report 2012.029",Furuneset,"750,000",900,1500,0.6,31
"Hermanns et al., 2012. Recommeded hazard and risk classification System for large unstable rock slopes in Norway. NGU Report 2012.029",Grande,"650,000",1350,1450,0.93,43
"Hermanns et al., 2012. Recommeded hazard and risk classification System for large unstable rock slopes in Norway. NGU Report 2012.029",Gravem,"400,000",900,1500,0.6,31
"Hermanns et al., 2012. Recommeded hazard and risk classification System for large unstable rock slopes in Norway. NGU Report 2012.029",Grotlandsura,"9,000,000",500,1200,0.42,23
"Hermanns et al., 2012. Recommeded hazard and risk classification System for large unstable rock slopes in Norway. NGU Report 2012.029",Gumpedalen,"40,000,000",720,2200,0.33,18
"Hermanns et al., 2012. Recommeded hazard and risk classification System for large unstable rock slopes in Norway. NGU Report 2012.029",Hellaren,"125,000,000",900,4000,0.23,13
"Hermanns et al., 2012. Recommeded hazard and risk classification System for large unstable rock slopes in Norway. NGU Report 2012.029",Hjelle,"500,000",730,575,1.27,52
"Hermanns et al., 2012. Recommeded hazard and risk classification System for large unstable rock slopes in Norway. NGU Report 2012.029",Hysket,"2,275,000",550,1125,0.49,26
"Hermanns et al., 2012. Recommeded hazard and risk classification System for large unstable rock slopes in Norway. NGU Report 2012.029",Kubergan 1,"8,000,000",375,700,0.54,28
"Hermanns et al., 2012. Recommeded hazard and risk classification System for large unstable rock slopes in Norway. NGU Report 2012.029",Kubergan 2,"5,000,000",350,640,0.55,29
"Hermanns et al., 2012. Recommeded hazard and risk classification System for large unstable rock slopes in Norway. NGU Report 2012.029",Langhammaren,"2,500,000",850,1500,0.57,30
"Hermanns et al., 2012. Recommeded hazard and risk classification System for large unstable rock slopes in Norway. NGU Report 2012.029",Melkevoll,"375,000",480,750,0.64,33
"Hermanns et al., 2012. Recommeded hazard and risk classification System for large unstable rock slopes in Norway. NGU Report 2012.029",Nakkevanet,"20,000,000",900,2350,0.38,21
"Hermanns et al., 2012. Recommeded hazard and risk classification System for large unstable rock slopes in Norway. NGU Report 2012.029",Rorsetura,"2,500,000",650,1100,0.59,31
"Hermanns et al., 2012. Recommeded hazard and risk classification System for large unstable rock slopes in Norway. NGU Report 2012.029",Skaersura,"13,500,000",1000,1750,0.57,30
"Hermanns et al., 2012. Recommeded hazard and risk classification System for large unstable rock slopes in Norway. NGU Report 2012.029",Store Urdi,"15,000,000",400,1400,0.29,16
"Hermanns et al., 2012. Recommeded hazard and risk classification System for large unstable rock slopes in Norway. NGU Report 2012.029",Stolaholmen,"3,500,000",420,960,0.44,24
"Hermanns et al., 2012. Recommeded hazard and risk classification System for large unstable rock slopes in Norway. NGU Report 2012.029",Sordalen,"3,750,000",675,1500,0.45,24
"Hermanns et al., 2012. Recommeded hazard and risk classification System for large unstable rock slopes in Norway. NGU Report 2012.029",Tjellefonna,"15,000,000",750,2000,0.38,21
"Hermanns et al., 2012. Recommeded hazard and risk classification System for large unstable rock slopes in Norway. NGU Report 2012.029",Urdabouri,"19,500,000",470,1350,0.35,19
"Hermanns et al., 2012. Recommeded hazard and risk classification System for large unstable rock slopes in Norway. NGU Report 2012.029",Venge,"750,000",760,1700,0.45,24
"Hermanns et al., 2012. Recommeded hazard and risk classification System for large unstable rock slopes in Norway. NGU Report 2012.029",Verkildsdalen,"15,000,000",675,1600,0.42,23
